EE UID,Client ID,Destination,first_datenum,last_datenum,first_m,last_m,first_year,last_year,diffdays,Client Age at Entry,Client Gender,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status,Length of Stay in Previous Place(1934),Housing Status(2703),Prior Living Situation(43)
687901,397941,"Rental by client, with other ongoing housing subsidy (HUD)",2015-08-15,2016-07-11,8,7.0,2015,2016.0,331.0,60.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687902,130335,Data not collected (HUD),2015-08-15,2015-08-31,8,8.0,2015,2015.0,16.0,48.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
687903,188933,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-19,8,9.0,2015,2015.0,35.0,42.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687904,168290,Hospital or other residential non-psychiatric medical facility (HUD),2015-08-15,2016-03-07,8,3.0,2015,2016.0,205.0,57.0,Male,Male,White (HUD),Hispanic/Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687905,123122,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-24,8,8.0,2015,2015.0,9.0,51.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687907,363382,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-29,8,10.0,2015,2015.0,75.0,30.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
687909,165730,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-06,8,9.0,2015,2015.0,22.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
687911,291392,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-22,8,8.0,2015,2015.0,7.0,56.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Rental by client, with VASH housing subsidy (HUD)"
687912,359808,"Rental by client, with VASH housing subsidy (HUD)",2015-08-15,2015-10-29,8,10.0,2015,2015.0,75.0,60.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
687913,385539,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-23,8,9.0,2015,2015.0,39.0,59.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
687914,360237,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-08,8,10.0,2015,2015.0,54.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"90 days or more, but less than one year",Stably housed (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
687951,403745,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-25,8,8.0,2015,2015.0,10.0,31.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
687967,404039,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-10-05,8,10.0,2015,2015.0,51.0,44.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),,,
687968,381869,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-25,8,9.0,2015,2015.0,41.0,75.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
687969,397313,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-01,8,9.0,2015,2015.0,17.0,40.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
